Ticker,Sinal,Tipo,Preço,POI,POI Preço,Zona,SL,TP1,RR,Dist. POI,Nota MTF
MSFT34,bear,BOS,109.62,OB (MT),119.7,premium,130.52,62.55,5.28,-8.4%,Aguardar CHOCH interno no D1 para confirmar absorção (LTF do W1)
SMAL11,bull,BOS,104.58,OB (MT),86.67,discount,82.92,140.75,14.42,+20.7%,Aguardar CHOCH interno no D1 para confirmar absorção (LTF do W1)
TGMA3,bear,CHOCH,34.11,OB (MT),38.92,premium,39.58,22.39,25.05,-12.4%,Aguardar CHOCH interno no D1 para confirmar absorção (LTF do W1)
